"parameter","value_num","value_label","is_default","metric","median","q1","q3","mean","sd","n_cancers"
"alpha",0.2,"0.2",FALSE,"Precision@100",0.58,0.5525,0.6025,0.573333333333333,0.0382178761917255,12
"alpha",0.2,"0.2",FALSE,"Precision@6",0.576861393017382,0.527330043859649,0.640388605923411,0.592851883144481,0.0956938957718016,12
"alpha",0.5,"0.5",TRUE,"Precision@100",0.57,0.54,0.6,0.5675,0.0407040315179981,12
"alpha",0.5,"0.5",TRUE,"Precision@6",0.575233587211303,0.527741228070175,0.63930803150349,0.592015636333268,0.095840593046076,12
"alpha",0.8,"0.8",FALSE,"Precision@100",0.58,0.5425,0.595,0.569166666666667,0.0433711955802536,12
"alpha",0.8,"0.8",FALSE,"Precision@6",0.572677276298446,0.52468932748538,0.634012450481041,0.588977122463221,0.0954944695391688,12
"gamma",0.05,"0.05",FALSE,"Precision@100",0.575,0.5475,0.6025,0.569166666666667,0.0429499356192413,12
"gamma",0.05,"0.05",FALSE,"Precision@6",0.573841803507542,0.527741228070175,0.634920887568383,0.591321169498117,0.0964265109126493,12
"gamma",0.15,"0.15",TRUE,"Precision@100",0.57,0.54,0.6,0.5675,0.0407040315179981,12
"gamma",0.15,"0.15",TRUE,"Precision@6",0.575233587211303,0.527741228070175,0.63930803150349,0.592015636333268,0.095840593046076,12
"gamma",0.3,"0.3",FALSE,"Precision@100",0.565,0.5325,0.5925,0.564166666666667,0.0423101821687347,12
"gamma",0.3,"0.3",FALSE,"Precision@6",0.576746790813643,0.527604166666667,0.641458569137899,0.592076905842775,0.095324345666536,12
"gamma",0.5,"0.5",FALSE,"Precision@100",0.56,0.535,0.59,0.559166666666667,0.0448144321991625,12
"gamma",0.5,"0.5",FALSE,"Precision@6",0.575811468012025,0.525237573099415,0.641184446330881,0.591463685498088,0.0947588353120015,12
"gamma",0.8,"0.8",FALSE,"Precision@100",0.55,0.5275,0.59,0.555,0.0448228837658947,12
"gamma",0.8,"0.8",FALSE,"Precision@6",0.576975021264715,0.524552266081871,0.637657399547255,0.59029954600446,0.093732412051555,12
"max_degs",100,"100",FALSE,"Precision@100",0.58,0.545,0.6025,0.573333333333333,0.0420677663977655,12
"max_degs",100,"100",FALSE,"Precision@6",0.573028874560908,0.527467105263158,0.636345736653462,0.590505605551346,0.0969729921706812,12
"max_degs",250,"250",FALSE,"Precision@100",0.58,0.535,0.6025,0.57,0.0434845845203687,12
"max_degs",250,"250",FALSE,"Precision@6",0.575350137327853,0.527467105263158,0.635001650631956,0.59097430475737,0.0963170015973788,12
"max_degs",500,"500",TRUE,"Precision@100",0.57,0.54,0.6,0.5675,0.0407040315179981,12
"max_degs",500,"500",TRUE,"Precision@6",0.575233587211303,0.527741228070175,0.63930803150349,0.592015636333268,0.095840593046076,12
"max_degs",750,"750",FALSE,"Precision@100",0.575,0.54,0.6,0.568333333333333,0.0417423554968361,12
"max_degs",750,"750",FALSE,"Precision@6",0.575233587211303,0.527741228070175,0.637958639879268,0.591713041986233,0.0956377803197132,12
"max_degs",1000,"1000",FALSE,"Precision@100",0.575,0.54,0.6025,0.569166666666667,0.041878250665326,12
"max_degs",1000,"1000",FALSE,"Precision@6",0.574536234424814,0.527604166666667,0.637689822674967,0.591693929367833,0.0955533184421051,12
"r",0.05,"0.05",FALSE,"Precision@100",0.575,0.535,0.5825,0.563333333333333,0.0360134654951408,12
"r",0.05,"0.05",FALSE,"Precision@6",0.576738025205992,0.526507675438597,0.621260139596303,0.589090210914252,0.0974051992254361,12
"r",0.15,"0.15",TRUE,"Precision@100",0.57,0.54,0.6,0.5675,0.0407040315179981,12
"r",0.15,"0.15",TRUE,"Precision@6",0.575233587211303,0.527741228070175,0.63930803150349,0.592015636333268,0.095840593046076,12
"r",0.3,"0.3",FALSE,"Precision@100",0.555,0.52,0.5925,0.553333333333333,0.0443812682299297,12
"r",0.3,"0.3",FALSE,"Precision@6",0.562809474647915,0.524552266081871,0.640182866440294,0.586122476326635,0.093550732062809,12
"r",0.5,"0.5",FALSE,"Precision@100",0.53,0.51,0.545,0.528333333333333,0.0329830075626646,12
"r",0.5,"0.5",FALSE,"Precision@6",0.552579361214459,0.517936769005848,0.628875448028674,0.575167502831732,0.0894999485544203,12
"r",0.8,"0.8",FALSE,"Precision@100",0.455,0.43,0.4825,0.4575,0.0388762605758789,12
"r",0.8,"0.8",FALSE,"Precision@6",0.535897435897436,0.506840604724553,0.587542444821732,0.547484338873297,0.0790618573936,12
"sigma",0.05,"0.05",FALSE,"Precision@100",0.57,0.54,0.6,0.5675,0.0407040315179981,12
"sigma",0.05,"0.05",FALSE,"Precision@6",0.565368707429989,0.524141081871345,0.634088497453311,0.58346903209586,0.0921784797418564,12
"sigma",0.1,"0.1",TRUE,"Precision@100",0.57,0.54,0.6,0.5675,0.0407040315179981,12
"sigma",0.1,"0.1",TRUE,"Precision@6",0.575233587211303,0.527741228070175,0.63930803150349,0.592015636333268,0.095840593046076,12
"sigma",0.3,"0.3",FALSE,"Precision@100",0.57,0.54,0.6,0.5675,0.0407040315179981,12
"sigma",0.3,"0.3",FALSE,"Precision@6",0.567857977676919,0.524725877192982,0.62395361724203,0.587215110504568,0.0953979540102894,12
"sigma",0.5,"0.5",FALSE,"Precision@100",0.57,0.54,0.6,0.5675,0.0407040315179981,12
"sigma",0.5,"0.5",FALSE,"Precision@6",0.568149352968294,0.524040570175439,0.622254645349934,0.58661614177643,0.0957015050269657,12
"sigma",1,"1",FALSE,"Precision@100",0.57,0.54,0.6,0.5675,0.0407040315179981,12
"sigma",1,"1",FALSE,"Precision@6",0.567857977676919,0.524314692982456,0.622614836823241,0.58671208069621,0.0957174188340721,12
"sigma",2,"2",FALSE,"Precision@100",0.57,0.54,0.6,0.5675,0.0407040315179981,12
"sigma",2,"2",FALSE,"Precision@6",0.567857977676919,0.524451754385965,0.622614836823241,0.586785997279674,0.0957323687741273,12
