434,181,264,291,212,363,386,504,138,551,287,525,97,565,137,311,142,76,301,59,234,400,564,248,410,307,24,396,436
113,51,221,392,362,203,485,198,139,59,483,475,99,114,247,339,63,338,5,268,168,156,78,30,104,301,61,566,558
337,343,402,537,560,556,485,526,135,119,239,283,405,363,573,309,443,113,104,362,288,16,295,368,454,318,77,398,7
485,489,550,389,498,558,301,76,299,171,292,259,317,569,265,10,401,415,380,5,448,396,38,452,343,32,476,442,258
300,519,113,547,37,386,436,30,437,20,97,431,10,171,79,285,31,263,2,514,355,4,287,25,444,534,459,99,58
279,377,145,39,165,161,76,246,501,137,192,518,64,529,58,122,483,128,332,459,325,319,129,396,301,508,435,536,8
486,483,69,279,191,323,90,495,485,330,248,278,514,235,137,436,420,167,430,54,225,418,20,0,538,300,371,18,51
359,313,411,435,361,40,408,288,316,422,549,234,229,213,55,182,436,48,163,403,389,134,33,174,456,519,250,378,494
156,142,61,363,24,390,235,256,41,436,334,386,129,75,203,459,67,314,545,241,527,396,313,483,171,528,126,134,449
182,4,175,111,440,68,66,503,278,8,386,259,402,89,483,519,32,143,574,59,545,436,171,502,539,189,225,554,307
447,296,30,191,281,92,26,168,436,401,459,134,249,498,79,571,109,448,425,347,387,405,389,205,556,301,13,455,213
181,148,134,373,168,389,488,171,164,279,452,39,84,8,529,460,458,435,515,76,17,551,92,175,558,287,123,475,32
2,131,254,308,485,387,513,171,129,401,432,328,564,147,441,191,154,477,195,226,287,225,371,165,367,554,509,363,7
375,8,321,448,367,269,129,285,436,0,492,6,214,279,314,268,234,227,190,424,4,119,26,64,423,15,95,553,306
134,415,213,241,94,150,66,114,571,336,84,349,285,503,137,0,24,191,314,18,317,145,61,128,258,219,510,308,291
553,534,113,229,134,142,483,514,203,459,498,485,257,247,342,359,488,171,10,283,155,343,225,19,312,213,30,147,552
485,10,58,278,468,225,409,28,37,145,320,113,60,380,239,435,293,272,137,29,248,484,355,16,300,49,314,159,434
175,282,300,87,415,281,66,436,142,129,90,99,357,287,239,564,114,76,364,113,306,261,486,100,171,483,137,330,5
287,43,247,5,386,146,413,362,307,30,137,154,113,389,233,484,330,357,51,475,485,90,132,64,528,387,62,423,94
283,416,483,51,287,171,531,485,134,43,537,432,315,558,336,276,534,341,528,73,168,101,132,93,32,389,201,253,371
451,457,119,248,408,5,269,65,455,343,137,483,142,256,379,355,538,433,64,213,134,174,276,396,8,300,261,525,110
139,528,515,18,433,554,363,449,90,32,160,564,66,381,156,461,113,379,434,545,133,326,170,510,75,57,137,256,276
143,318,328,125,254,253,301,380,31,498,381,20,405,300,374,228,38,386,58,81,354,59,87,534,442,39,428,433,515
114,55,301,324,486,166,415,504,567,547,233,549,142,38,47,401,228,537,59,483,433,465,475,6,443,65,255,485,196
87,344,170,455,299,18,10,48,324,524,442,58,367,386,510,363,458,213,79,301,413,548,433,62,295,128,66,182,59
171,405,433,430,321,203,239,424,553,30,300,442,121,45,555,369,383,330,68,133,214,175,385,284,49,319,572,377,497
55,436,33,363,228,214,161,97,68,451,194,358,47,259,58,10,64,305,403,155,430,282,66,44,301,76,420,113,216
278,525,192,304,170,553,66,385,96,195,299,379,341,137,4,363,175,435,386,483,239,185,6,123,287,8,528,344,267
288,254,247,238,168,39,201,337,165,385,498,336,537,284,6,566,354,93,414,308,255,11,75,435,445,401,30,321,268
61,436,534,340,282,231,323,9,171,484,393,250,76,359,457,403,537,175,224,10,545,252,357,64,114,267,345,461,276
319,359,133,391,8,326,90,484,407,266,307,50,259,498,265,336,32,351,538,46,279,18,182,229,483,129,68,142,89
