gene1	gene2	jaccard index	pv (ws)
MYO6	VHL	0.0	0.0961
CAPN3	PBRM1	0.0	0.0322
TP53BP1	PBRM1	0.0	0.0322
MUC16	PKHD1L1	0.0	0.0928
TTN	POLE	0.0	0.0751
TTN	FREM2	0.009615384615384616	0.052
TTN	DSCAM	0.0	0.0751
TTN	RYR2	0.009523809523809525	0.0414
TTN	SVEP1	0.0	0.0554
TTN	PCDHGB3	0.0	0.0751
TTN	NOTCH2	0.0	0.0348
TTN	LAMC2	0.0	0.0751
TTN	DNAH11	0.0	0.0554
TTN	NPHP3	0.0	0.0348
TTN	TPR	0.0	0.0751
TTN	CUL3	0.0	0.0751
TTN	SCG2	0.0	0.0751
HCN3	VHL	0.0	0.0961
VHL	DAB2	0.0	0.0201
VHL	MAP3K4	0.011111111111111112	0.0916
VHL	OR8B8	0.0	0.0961
VHL	THBS1	0.011111111111111112	0.0916
VHL	SMCR8	0.0	0.0466
VHL	PBRM1	0.27413127413127414	0.0539
VHL	WAPL	0.0	0.0201
VHL	NOC3L	0.0	0.0961
VHL	ZNF408	0.0	0.0961
VHL	XIRP2	0.021621621621621623	0.028
VHL	FNDC3B	0.0	0.0961
VHL	SAMD9	0.0	0.00181
VHL	FNIP1	0.0	0.0466
VHL	PRPF40B	0.0	0.0961
VHL	CIITA	0.0	0.0466
VHL	ATP10D	0.00558659217877095	0.0748
VHL	IFIT3	0.0	0.0961
VHL	ZDHHC13	0.0	0.0961
VHL	SGK2	0.0	0.0961
VHL	USP9X	0.0	0.0961
VHL	IWS1	0.0	0.0466
VHL	NBPF11	0.0	0.0961
VHL	VWA3B	0.0	0.0961
VHL	PTEN	0.021739130434782608	0.0522
VHL	MYH4	0.01098901098901099	0.0289
VHL	PRR12	0.005555555555555556	0.037
VHL	COL4A6	0.0	0.0961
VHL	CSTF3	0.0	0.0961
VHL	LINS1	0.0	0.0961
VHL	ARHGAP28	0.0	0.0961
VHL	ATR	0.005555555555555556	0.037
VHL	BOC	0.0	0.0961
VHL	ZNF800	0.0055248618784530384	0.02124
VHL	RAI1	0.0	0.0961
VHL	PSMD11	0.0	0.0961
VHL	TCF20	0.00558659217877095	0.0748
VHL	MORC4	0.0	0.0201
VHL	SLITRK6	0.011049723756906077	0.0566
VHL	JMJD7-PLA2G4B	0.00558659217877095	0.0748
VHL	SLC12A2	0.0	0.00869
VHL	KCNC1	0.0	0.0961
VHL	DNAH2	0.021739130434782608	0.0522
VHL	CDCP2	0.0	0.0961
VHL	USH2A	0.026881720430107527	0.0371
VHL	SYCP2L	0.0	0.0466
VHL	MSR1	0.0	0.0201
VHL	NOS1	0.00546448087431694	0.00485
VHL	SVEP1	0.0055248618784530384	0.02124
VHL	ARHGEF7	0.0	0.0201
VHL	UMODL1	0.0	0.0466
VHL	ABL2	0.0	0.00869
VHL	SEMA3A	0.0	0.0961
VHL	MKLN1	0.0	0.0961
VHL	TBCCD1	0.0	0.0961
VHL	FAM13A	0.0	0.0961
VHL	C12orf40	0.0	0.0961
VHL	SLC19A3	0.0	0.0961
VHL	RTTN	0.01098901098901099	0.0301
VHL	PDE4B	0.0	0.0961
VHL	PXDNL	0.0	0.0466
VHL	CEP131	0.0	0.0961
VHL	PGLYRP2	0.0	0.0961
VHL	VEZT	0.0	0.0466
VHL	UHRF1BP1L	0.00558659217877095	0.07374
VHL	OBSCN	0.011049723756906077	0.0566
VHL	ADGRF1	0.0	0.0961
VHL	BMP1	0.0	0.0466
VHL	USP15	0.00558659217877095	0.07374
VHL	MYO3A	0.00558659217877095	0.07374
VHL	F8	0.0	0.0201
VHL	PRG4	0.0	0.0961
VHL	MCCC2	0.0	0.0961
VHL	SCNN1A	0.0	0.0961
VHL	ACVR1B	0.0	0.0961
VHL	TNS2	0.0	0.0466
