TCGA-EL-A3T3	BRAF,BPTF,FLNA
TCGA-DJ-A4UR	NRAS,HUWE1,TENM1,PTPRA,MXRA5,NKG7,FYCO1,CILP2,LRFN5,TMEM260,NDRG4
TCGA-ET-A3DO	BRAF,TTN,TENM1,DCX,NLRP4,ADGRV1,SLC25A43
TCGA-DJ-A2Q9	AP3B1,PIK3CB,MKI67,DOCK10,ABCB7,MGAT5B,FZD8,PTPRN,WDR49,OR2G6
TCGA-ET-A39P	BRAF,DYNC1H1,CSMD3,IL7R,ITGA8
TCGA-DE-A69J	BRAF,RBBP6,CNGB3
TCGA-ET-A39R	IRS1,ZNF777,COL5A3,HAUS7
TCGA-FY-A4B3	BRAF,PPL,AGPAT2,KCNC3,ADAMTS16,DEUP1,CDH6,EIF3E
TCGA-DJ-A13U	BRAF,SDAD1,PPP3R2,TCN2,COL27A1
TCGA-ET-A4KN	CDKN1A,MMP2,MON2,PTK2B,BOD1L1,GLI2,MED11,CASZ1,ITGA7,ADD2
TCGA-FK-A4UB	TRIP11,UBR4,FBXO7,UNC13D
TCGA-DJ-A4V2	BRAF,ATR,PCDH11X,ACKR2
TCGA-EM-A1CS	MUC5AC,ARMCX3,AMBP
TCGA-H2-A422	BRAF,CEP192,AK9,SLC8A1,CACNA1C,KLC2
TCGA-DJ-A3UW	BRAF,ITPR2
TCGA-H2-A421	BRAF,CDK12,DNAH9,ABCC9,PCDH15,PLTP,EXOC7
TCGA-EL-A3GU	BRAF,MACF1,JMJD1C,MPDZ,MSI1,COL5A1,BCL9,HNF4A,PDHA2,CALCR
TCGA-DJ-A3V4	BRAF,MUC16,TNRC6B,ATG2B
TCGA-ET-A25G	BRAF,MPDZ,COL6A2,ZMIZ2,ZSCAN20,HIGD1A,CLCA1
TCGA-ET-A3DT	BRAF,NCOR1,GRM2,LSP1
TCGA-E3-A3DY	BRAF,NIPBL,BDP1,NLGN4Y
TCGA-BJ-A3F0	TG,GNAS,RAI14,KIAA0895L,CRY1,TIPARP,ACAP1,DOCK5
