source,target,edge_weight,edge_type
IL4,CCND1,0.1,Directed
CDH1,CCND1,0.253750717036084,Directed
PIK3CA,CCND1,0.235346925075394,Directed
PIK3R1,CCND1,0.14266909624172,Directed
CTNNB1,CCND1,0.267466981815604,Directed
CDH1,IL4,0.1,Directed
CDH1,APC,0.283736579406638,Directed
TBX3,CDH1,0.1,Directed
EGF,CDH1,0.1,Directed
IL4,PIK3CA,0.1,Directed
CDH1,PIK3CA,0.236697219951205,Directed
EGF,PIK3CA,0.133180257137961,Directed
SRC,PIK3CA,0.226291551027705,Directed
CTNNB1,PIK3CA,0.575361841606579,Directed
CDH1,EGF,0.1,Directed
CDH1,SRC,0.289015069466531,Directed
EGF,SRC,0.1,Directed
IL4,PIK3R1,0.1,Directed
CDH1,PIK3R1,0.1,Directed
PIK3CA,PIK3R1,0.404047967980565,Directed
EGF,PIK3R1,0.29176950485636,Directed
CTNNB1,PIK3R1,0.51827721460894,Directed
APC,CTNNB1,0.640014738195725,Directed
CDH1,CTNNB1,0.127318407250821,Directed
SRC,CTNNB1,0.176903874800617,Directed
APC,CCND1,0.444092081599512,Undirected
PIK3CA,APC,0.710088277855215,Undirected
EGF,CCND1,0.146539695282016,Undirected
SRC,CCND1,0.129381438957802,Undirected
CTNNB1,EGF,0.176406427819462,Undirected
CTNNB1,IL4,0.1,Undirected
CTNNB1,TBX3,0.191158739599475,Undirected
EGF,IL4,0.1,Undirected
SRC,IL4,0.1,Undirected
PIK3R1,SRC,0.1,Undirected
PIK3R1,TBX3,0.145228779992929,Undirected
