source,target,edge_weight,edge_type
NR3C1,NFKB1,0.470473526519857,Directed
TXN,NFKB1,0.102669855594178,Directed
TNF,NFKB1,0.295967511534797,Directed
TXN,NR3C1,0.1,Directed
ESR1,NR3C1,0.106008861428397,Directed
TXN,SP1,0.118481457031253,Directed
TXN,ARNT,0.1,Directed
GABPA,TXN,0.1,Directed
TNF,TXN,0.148693324446421,Directed
TXN,PPARA,0.1,Directed
SP1,TNF,0.107524145704973,Directed
TXN,TNF,0.148693324446421,Directed
PPARA,TNF,0.120255809763132,Directed
NR3C1,ESR1,0.106008861428397,Directed
TXN,ESR1,0.1,Directed
ESR1,ARNT,0.143398845444555,Undirected
PPARA,ARNT,0.506934971426652,Undirected
ARNT,SP1,0.491151185448723,Undirected
ESR1,NFKB1,0.238216785299787,Undirected
ESR1,PPARA,0.119583210197077,Undirected
ESR1,SP1,0.109805996943613,Undirected
ESR1,TNF,0.256475653994743,Undirected
SP1,GABPA,0.419796585160025,Undirected
PPARA,NFKB1,0.463109307223659,Undirected
SP1,NFKB1,0.567475925734828,Undirected
PPARA,NR3C1,0.290648584869702,Undirected
SP1,NR3C1,0.393046295836863,Undirected
TNF,NR3C1,0.1,Undirected
