VHL	2.80607e+10	
PBRM1	2.40478e+10	
SETD2	2.21593e+10	
TP53	1.38696e+10	
TTN	4.62788e+09	
MTOR	4.54238e+09	
SMARCA4	4.009e+09	
ATM	3.48786e+09	
BAP1	2.86503e+09	
PTEN	2.43746e+09	
EP300	1.81977e+09	
FN1	1.65859e+09	
HIF1A	1.26571e+09	
KMT2C	1.18277e+09	
ATRX	1.10328e+09	
ELOC	5.51756e+08	
POLR2A	5.2844e+08	
ANK2	5.00318e+08	
HSP90AA1	3.78627e+08	
SMARCA5	2.74278e+08	
BRCA2	2.43243e+08	
UBC	2.43151e+08	
CHD4	2.39306e+08	
SMARCC2	2.0806e+08	
SMARCA2	2.02837e+08	
NCOR1	1.65726e+08	
EPAS1	1.57943e+08	
BRD7	1.54944e+08	
KMT2D	1.52809e+08	
HSPA8	1.49624e+08	
NOTCH1	1.4646e+08	
PIK3CA	1.05847e+08	
CUL2	1.05077e+08	
PTK2	9.41201e+07	
STAG2	9.31361e+07	
MED1	9.03274e+07	
NIPBL	8.68214e+07	
TXNIP	8.42329e+07	
CUL3	8.16788e+07	
HTT	7.66616e+07	
DICER1	7.33242e+07	
ERBB2	7.13069e+07	
KDM6A	7.04248e+07	
PRKDC	6.86094e+07	
TSC2	6.84497e+07	
LRP2	6.38497e+07	
SYNE1	6.00912e+07	
KAT6A	6.00646e+07	
COPS5	5.96219e+07	
RYR1	5.82989e+07	
POLE	5.81221e+07	
KRAS	5.51792e+07	
PRPF8	5.49196e+07	
SIRT1	5.42267e+07	
KMT2A	5.11199e+07	
AHNAK2	4.97581e+07	
POLR2B	4.80947e+07	
CHD3	4.77714e+07	
PSMC5	4.77478e+07	
RANBP2	4.6848e+07	
EGFR	4.54609e+07	
PALB2	4.54002e+07	
SMARCB1	4.53477e+07	
H3-3B	4.41334e+07	
TPR	4.36951e+07	
RIPK1	4.2813e+07	
CDK12	4.14101e+07	
HDAC1	4.07378e+07	
NBR1	4.06473e+07	
NEDD8	4.00764e+07	
WDR77	3.65295e+07	
NOTCH2	3.63948e+07	
ELOB	3.5587e+07	
BRD2	3.53623e+07	
WDR5	3.52969e+07	
ATF7IP	3.45448e+07	
TAF1	3.39443e+07	
CUL7	3.27265e+07	
PARP1	3.02522e+07	
JAK2	3.0047e+07	
ROCK1	2.97599e+07	
MET	2.97235e+07	
HSP90AB1	2.81294e+07	
COPS2	2.73015e+07	
CAND1	2.71838e+07	
UBE2D1	2.67967e+07	
SMC3	2.6337e+07	
SMARCE1	2.6182e+07	
SRCAP	2.61791e+07	
RBM39	2.55967e+07	
THBS1	2.49114e+07	
CNOT1	2.48401e+07	
EP400	2.48129e+07	
BRCA1	2.44291e+07	
VWF	2.41296e+07	
SP1	2.40612e+07	
HNRNPA2B1	2.374e+07	
BICRA	2.36757e+07	
BRD9	2.3264e+07	
IGF1R	2.28005e+07	
KDR	2.27128e+07	
TLR4	2.23748e+07	
CUL5	2.15276e+07	
BAZ1B	2.1168e+07	
FLNA	2.11332e+07	
BRD4	2.09836e+07	
PSMC1	2.05978e+07	
NCL	2.01897e+07	
TP53BP1	1.99305e+07	
BPTF	1.93698e+07	
OBSL1	1.90886e+07	
RB1	1.89167e+07	
XRN1	1.8837e+07	
SUPT5H	1.86822e+07	
NCOR2	1.80351e+07	
MCM7	1.79553e+07	
STK11	1.79289e+07	
NUP98	1.78077e+07	
STAT3	1.77215e+07	
TUBB	1.76901e+07	
CREBBP	1.74178e+07	
CTR9	1.7204e+07	
IREB2	1.70928e+07	
FLNC	1.70384e+07	
SUZ12	1.63038e+07	
SMARCA1	1.62385e+07	
HDAC6	1.58938e+07	
IWS1	1.57779e+07	
ASXL1	1.54137e+07	
HSPA4	1.53895e+07	
PRKACB	1.53105e+07	
DAXX	1.50842e+07	
SRC	1.49478e+07	
PPARG	1.47485e+07	
STAG1	1.4244e+07	
TSC1	1.41104e+07	
RB1CC1	1.39607e+07	
ELOA	1.34583e+07	
ASXL2	1.33525e+07	
CTNNB1	1.32974e+07	
MSH6	1.31343e+07	
ATR	1.24473e+07	
ITGB1	1.23823e+07	
